Paese,Clic,Impressioni,CTR,Posizione
Kenya,0,8,0%,7.25
Etiopia,0,8,0%,13.88
Slovacchia,0,7,0%,5.29
Belize,0,7,0%,6.71
Panama,0,7,0%,7.29
Uzbekistan,0,7,0%,7.43
Ghana,0,7,0%,8.29
Isole Vergini britanniche,0,7,0%,13.14
Libano,0,6,0%,5.17
Islanda,0,6,0%,6.17
Giordania,0,6,0%,7
Taiwan,0,6,0%,7.67
Guatemala,0,6,0%,12.5
Bahrein,0,5,0%,6.8
Iran,0,5,0%,7.2
Barbados,0,5,0%,7.6
Curaçao,0,4,0%,5.5
Azerbaigian,0,4,0%,6
Kazakistan,0,4,0%,6
Macedonia,0,4,0%,6.25
Bermuda,0,4,0%,7
Sint Maarten,0,4,0%,7
Bosnia ed Erzegovina,0,4,0%,7.5
Honduras,0,4,0%,7.75
Isola di Man,0,4,0%,7.75
Isole Vergini Statunitensi,0,4,0%,8
Nepal,0,4,0%,10
Sri Lanka,0,4,0%,10.25
Saint Vincent e Grenadine,0,3,0%,5.33
Bielorussia,0,3,0%,6
Aruba,0,3,0%,6.33
Kosovo,0,3,0%,6.33
Jersey,0,3,0%,8.33
Repubblica del Congo,0,3,0%,9.33
Libia,0,3,0%,12.33
Siria,0,3,0%,12.33
Afghanistan,0,2,0%,3.5
Riunione,0,2,0%,5
Isole BES,0,2,0%,6
Grenada,0,2,0%,6
Saint Kitts e Nevis,0,2,0%,7
Isole Turks e Caicos,0,2,0%,8
Regione sconosciuta,0,2,0%,8.5
Cuba,0,2,0%,9
Guiana,0,2,0%,9
Dominica,0,2,0%,9.5
Seychelles,0,2,0%,11
Nicaragua,0,2,0%,12.5
Senegal,0,2,0%,19
Brunei,0,1,0%,3
Haiti,0,1,0%,3
Santa Lucia,0,1,0%,3
Kirghizistan,0,1,0%,4
Swaziland,0,1,0%,5
Togo,0,1,0%,5
Saint Barthélemy,0,1,0%,6
Isole Cayman,0,1,0%,6
Guam,0,1,0%,6
Andorra,0,1,0%,7
Mali,0,1,0%,7
Namibia,0,1,0%,7
Burkina Faso,0,1,0%,8
Isole Falkland (Malvine),0,1,0%,8
Monaco,0,1,0%,8
Groenlandia,0,1,0%,9
Mauritius,0,1,0%,9
Sudan,0,1,0%,9
Gabon,0,1,0%,10
Palestina,0,1,0%,10
Sierra Leone,0,1,0%,10
El Salvador,0,1,0%,10
Antigua e Barbuda,0,1,0%,11
Bolivia,0,1,0%,11
Camerun,0,1,0%,11
Gibuti,0,1,0%,11
Maldive,0,1,0%,11
Montenegro,0,1,0%,11
Nuova Caledonia,0,1,0%,11
Botswana,0,1,0%,19
Suriname,0,1,0%,41
