Data,Clic,Impressioni,CTR,Posizione
2026-03-13,1,120,0.83%,12.6
2026-03-14,1,92,1.09%,16.8
2026-03-15,5,113,4.42%,15.3
2026-03-16,3,80,3.75%,19.2
2026-03-17,4,258,1.55%,11.5
2026-03-18,0,96,0%,11.1
2026-03-19,0,79,0%,7.8
2026-03-20,2,48,4.17%,6.9
2026-03-21,1,80,1.25%,8.9
2026-03-22,0,144,0%,9.1
2026-03-23,2,94,2.13%,12.6
2026-03-24,1,102,0.98%,14.3
2026-03-25,3,90,3.33%,11.7
2026-03-26,4,92,4.35%,9.7
2026-03-27,3,135,2.22%,9.7
2026-03-28,2,72,2.78%,8.6
2026-03-29,0,31,0%,14
2026-03-30,2,34,5.88%,15.1
2026-03-31,6,49,12.24%,11.2
2026-04-01,3,54,5.56%,9.7
2026-04-02,3,58,5.17%,11.3
2026-04-03,4,50,8%,9.1
2026-04-04,2,51,3.92%,9
2026-04-05,0,57,0%,9
2026-04-06,1,63,1.59%,11.6
2026-04-07,0,69,0%,12.2
2026-04-08,3,56,5.36%,9.7
2026-04-09,3,48,6.25%,7
2026-04-10,2,77,2.6%,11.3
2026-04-11,1,36,2.78%,21.1
2026-04-12,4,59,6.78%,15.6
2026-04-13,3,59,5.08%,17.8
2026-04-14,3,70,4.29%,13.8
2026-04-15,1,60,1.67%,15.8
2026-04-16,3,49,6.12%,17.3
2026-04-17,2,69,2.9%,12.9
2026-04-18,1,59,1.69%,19.2
2026-04-19,2,63,3.17%,13.9
2026-04-20,6,72,8.33%,14.1
2026-04-21,5,65,7.69%,16.5
2026-04-22,3,60,5%,18.8
2026-04-23,1,55,1.82%,17
2026-04-24,0,58,0%,17.9
2026-04-25,3,52,5.77%,18.6
2026-04-26,0,45,0%,15.5
2026-04-27,1,37,2.7%,12.8
2026-04-28,3,47,6.38%,7.5
2026-04-29,1,73,1.37%,7.2
2026-04-30,0,30,0%,7.7
2026-05-01,0,37,0%,5.9
2026-05-02,3,37,8.11%,8.3
2026-05-03,0,27,0%,7.4
2026-05-04,0,54,0%,9.4
2026-05-05,2,41,4.88%,9.9
2026-05-06,0,51,0%,10
2026-05-07,2,65,3.08%,16
2026-05-08,0,38,0%,24.1
2026-05-09,2,38,5.26%,18.1
2026-05-10,0,50,0%,24.7
2026-05-11,0,50,0%,17.5
2026-05-12,5,60,8.33%,18.5
2026-05-13,0,56,0%,20.6
2026-05-14,2,51,3.92%,20.7
2026-05-15,3,45,6.67%,26.8
2026-05-16,1,42,2.38%,16.2
2026-05-17,1,48,2.08%,22.7
2026-05-18,2,50,4%,20
2026-05-19,2,57,3.51%,19.6
2026-05-20,5,58,8.62%,22.7
2026-05-21,2,51,3.92%,15.9
2026-05-22,0,51,0%,25
2026-05-23,1,70,1.43%,20.3
2026-05-24,2,31,6.45%,29.5
2026-05-25,4,47,8.51%,19.9
2026-05-26,4,47,8.51%,28.9
2026-05-27,1,43,2.33%,20.1
2026-05-28,0,54,0%,15
2026-05-29,2,61,3.28%,18.2
2026-05-30,3,29,10.34%,18.3
2026-05-31,2,38,5.26%,25.1
2026-06-01,0,48,0%,22.8
2026-06-02,2,36,5.56%,32
2026-06-03,8,48,16.67%,16.3
2026-06-04,1,49,2.04%,23.3
2026-06-05,2,40,5%,29.2
2026-06-06,2,51,3.92%,28.2
2026-06-07,3,44,6.82%,32.5
2026-06-08,0,48,0%,29.6
2026-06-09,0,75,0%,22.4
2026-06-10,2,55,3.64%,30.2
2026-06-11,1,97,1.03%,15.9
2026-06-12,0,39,0%,33.8
2026-06-13,0,33,0%,41.8
2026-06-14,0,37,0%,33
2026-06-15,4,53,7.55%,26.5
2026-06-16,3,53,5.66%,27.7
2026-06-17,1,44,2.27%,24.6
2026-06-18,0,56,0%,22.5
2026-06-19,3,37,8.11%,28.6
2026-06-20,1,44,2.27%,19.6
2026-06-21,2,46,4.35%,16.8
2026-06-22,4,46,8.7%,17.8
2026-06-23,1,44,2.27%,20.3
2026-06-24,3,44,6.82%,27.7
2026-06-25,0,53,0%,26.8
2026-06-26,2,45,4.44%,35.4
2026-06-27,1,42,2.38%,34.7
2026-06-28,0,52,0%,25.8
2026-06-29,2,56,3.57%,22.9
2026-06-30,1,48,2.08%,27.1
2026-07-01,2,47,4.26%,30.6
2026-07-02,3,55,5.45%,28.5
2026-07-03,0,48,0%,29.5
2026-07-04,0,37,0%,37.1
2026-07-05,2,45,4.44%,25.1
2026-07-06,0,37,0%,20.1
2026-07-07,1,47,2.13%,26.9
2026-07-08,2,37,5.41%,27.1
2026-07-09,5,55,9.09%,20.9
2026-07-10,0,34,0%,37.3
2026-07-11,3,43,6.98%,38.3
2026-07-12,0,43,0%,26.9
2026-07-13,0,46,0%,30.4
2026-07-14,1,54,1.85%,32.2
2026-07-15,2,59,3.39%,30.7
2026-07-16,4,42,9.52%,35.5
2026-07-17,0,31,0%,23.8
2026-07-18,1,28,3.57%,38.2
